"","MES","Producción"
"1","Enero",1
"2","Febrero",0
"3","Marzo",157
"4","Abril",12509
"5","Mayo",10019
"6","Junio",3263
"7","Julio",1911
"8","Agosto",288
"9","Setiembre",43
"10","Octubre",0
"11","Noviembre",0
"12","Diciembre",0
"13","Enero",9
"14","Febrero",16
"15","Marzo",68
"16","Abril",9093
"17","Mayo",8387
"18","Junio",2197
"19","Julio",2179
"20","Agosto",267
"21","Setiembre",50
"22","Octubre",0
"23","Noviembre",0
"24","Diciembre",0
"25","Enero",0
"26","Febrero",4
"27","Marzo",695
"28","Abril",12502
"29","Mayo",13635
"30","Junio",1927
"31","Julio",1432
"32","Agosto",167
"33","Setiembre",10
"34","Octubre",1
"35","Noviembre",0
"36","Diciembre",0
"37","Enero",0
"38","Febrero",0
"39","Marzo",677
"40","Abril",19852
"41","Mayo",6256
"42","Junio",1901
"43","Julio",1154
"44","Agosto",224
"45","Setiembre",20
"46","Octubre",3
"47","Noviembre",0
"48","Diciembre",0
"49","Enero",0
"50","Febrero",0
"51","Marzo",76
"52","Abril",12545
"53","Mayo",11287
"54","Junio",1901
"55","Julio",975
"56","Agosto",188
"57","Setiembre",14
"58","Octubre",3
"59","Noviembre",2
"60","Diciembre",5
"61","Enero",0
"62","Febrero",0
"63","Marzo",188
"64","Abril",19684
"65","Mayo",9933
"66","Junio",2047
"67","Julio",543
"68","Agosto",162
"69","Setiembre",19
"70","Octubre",10
"71","Noviembre",2
"72","Diciembre",2
"73","Enero",8
"74","Febrero",1
"75","Marzo",1784
"76","Abril",20345
"77","Mayo",5389
"78","Junio",2145
"79","Julio",671
"80","Agosto",69
"81","Setiembre",11
"82","Octubre",1
"83","Noviembre",2
"84","Diciembre",0
"85","Enero",0
"86","Febrero",0
"87","Marzo",1870
"88","Abril",20441
"89","Mayo",6277
"90","Junio",2211
"91","Julio",948
"92","Agosto",65
"93","Setiembre",2
"94","Octubre",9
"95","Noviembre",1
"96","Diciembre",1
"97","Enero",0
"98","Febrero",0
"99","Marzo",1062
"100","Abril",20318
"101","Mayo",4817
"102","Junio",2704
"103","Julio",737
"104","Agosto",175
"105","Setiembre",45
"106","Octubre",8
"107","Noviembre",0
"108","Diciembre",0
"109","Enero",0
"110","Febrero",0
"111","Marzo",1141
"112","Abril",21382
"113","Mayo",12350
"114","Junio",3144
"115","Julio",847
"116","Agosto",348
"117","Setiembre",94
"118","Octubre",0
"119","Noviembre",61
"120","Diciembre",30
"121","Enero",29
"122","Febrero",22
"123","Marzo",2428
"124","Abril",26229
"125","Mayo",7863
"126","Junio",3453
"127","Julio",954
"128","Agosto",47
"129","Setiembre",22
"130","Octubre",16
"131","Noviembre",0
"132","Diciembre",16
"133","Enero",32
"134","Febrero",90
"135","Marzo",488
"136","Abril",23067
"137","Mayo",12244
"138","Junio",3386
"139","Julio",1118
"140","Agosto",162
"141","Setiembre",60
"142","Octubre",107
"143","Noviembre",175
"144","Diciembre",252
"145","Enero",251
"146","Febrero",78
"147","Marzo",256
"148","Abril",23103
"149","Mayo",12484
"150","Junio",5232
"151","Julio",2091
"152","Agosto",291
"153","Setiembre",76
"154","Octubre",75
"155","Noviembre",99
"156","Diciembre",177
"157","Enero",152
"158","Febrero",25
"159","Marzo",51
"160","Abril",20851
"161","Mayo",15418
"162","Junio",6479
"163","Julio",3300
"164","Agosto",716
"165","Setiembre",803
"166","Octubre",910
"167","Noviembre",1610
"168","Diciembre",1815
"169","Enero",1541
"170","Febrero",1578
"171","Marzo",2323
"172","Abril",27176
"173","Mayo",24494
"174","Junio",15333
"175","Julio",8981
"176","Agosto",6083
"177","Setiembre",5129
"178","Octubre",7032
"179","Noviembre",7939
"180","Diciembre",7116
"181","Enero",6838
"182","Febrero",3264
"183","Marzo",2892
"184","Abril",33712
"185","Mayo",24821
"186","Junio",15105
"187","Julio",5775
"188","Agosto",3211
"189","Setiembre",2790
"190","Octubre",2479
"191","Noviembre",2916
"192","Diciembre",1863
"193","Enero",5247
"194","Febrero",4795
"195","Marzo",5856
"196","Abril",31312
"197","Mayo",25730
"198","Junio",16598
"199","Julio",7441
"200","Agosto",4548
"201","Setiembre",4925
"202","Octubre",3307
"203","Noviembre",3435
"204","Diciembre",4329
"205","Enero",4588
"206","Febrero",3987
"207","Marzo",5073
"208","Abril",29200
"209","Mayo",28552
"210","Junio",16931
"211","Julio",7611
"212","Agosto",3701
"213","Setiembre",2684
"214","Octubre",3228
"215","Noviembre",3403
"216","Diciembre",4120
"217","Enero",809
"218","Febrero",346
"219","Marzo",3161
"220","Abril",28836
"221","Mayo",25500
"222","Junio",16139
"223","Julio",6266
"224","Agosto",1664
"225","Setiembre",704
"226","Octubre",404
"227","Noviembre",1057
"228","Diciembre",1852
"229","Enero",1618
"230","Febrero",987
"231","Marzo",2383
"232","Abril",26000
"233","Mayo",27965
"234","Junio",14251
"235","Julio",5655
"236","Agosto",5605
"237","Setiembre",2077
"238","Octubre",988
"239","Noviembre",1063
"240","Diciembre",823
"241","Enero",863
"242","Febrero",2556
"243","Marzo",7449
"244","Abril",35886
"245","Mayo",27780
"246","Junio",13603
"247","Julio",4525
"248","Agosto",1734
"249","Setiembre",1892
"250","Octubre",1283
"251","Noviembre",1251
"252","Diciembre",1293
"253","Enero",1836
"254","Febrero",1559
"255","Marzo",3069
"256","Abril",31627
"257","Mayo",29396
